bestOfferEnabled,bidCount,buyItNowAvailable,categoryId,categoryName,conditionDisplayName,conditionId,country,endTime,expeditedShipping,gift,itemId,listingType,paymentMethod,postalCode,productId_type,productId_value,returnsAccepted,sellingState,shippingType,startTime,title,topRatedListing,value
True,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-01T14:51:13.000Z,True,False,172153035370,FixedPrice,PayPal,78748,NA,NA,False,EndedWithSales,Calculated,2016-03-31T21:28:22.000Z,"Apple MacBook Pro 13.3"" Laptop (Mid 2012) Purchased in 2015 i5 & 8GB Mem Upgrade",False,950.0
False,1,False,111422,Apple Laptops,For parts or not working,7000,US,2016-04-03T21:26:35.000Z,True,False,182074438589,Auction,PayPal,11106,NA,NA,False,EndedWithSales,Calculated,2016-03-31T21:26:35.000Z,MACBOOK PRO 2006 2.0. ghz  2.5gb,False,33.5
False,0,True,111422,Apple Laptops,Used,3000,US,2016-04-01T04:57:45.000Z,True,False,252339299535,AuctionWithBIN,PayPal,92683,NA,NA,False,EndedWithoutSales,Calculated,2016-03-31T21:23:09.000Z,"MacBook Pro Retina 15"" i7 2.8Ghz QuadCore 1TB SSD 16GB AMD Radeon R9 Force Touch",False,999.99
False,NA,False,111422,Apple Laptops,Seller refurbished,2500,US,2016-04-07T21:22:29.000Z,True,False,291725579729,FixedPrice,PayPal,27023,NA,NA,False,EndedWithoutSales,Calculated,2016-03-31T21:22:29.000Z,"Apple Macbook pro 13""",False,600.0
False,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-04T00:14:24.000Z,True,False,252339298708,StoreInventory,PayPal,98121,NA,NA,True,EndedWithSales,Free,2016-03-31T21:21:40.000Z,"DUKE: MacBook Pro 13"" 2.4GHz i5, UPGRADED 1TB HYBRID SSD, 10GB, 1-YEAR WARRANTY",False,689.99
False,23,True,111422,Apple Laptops,Used,3000,US,2016-04-05T21:14:22.000Z,False,False,301915418885,AuctionWithBIN,PayPal,75231,ReferenceID,78114031,False,EndedWithoutSales,FlatDomesticCalculatedInternational,2016-03-31T21:14:22.000Z,"Apple MacBook Pro A1260 15.4"" Laptop - MB134LL/A (February, 2008)",False,150.0
True,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-03T15:35:56.000Z,True,False,111954263885,StoreInventory,PayPal,33435,NA,NA,False,EndedWithoutSales,Free,2016-03-31T21:13:42.000Z,"Mid 2012 Apple MacBook Pro 13"" 2.5ghz 4gb RAM 500gb HDD W/Original Box",False,630.0
False,NA,False,111422,Apple Laptops,Seller refurbished,2500,US,2016-04-14T15:41:31.000Z,True,False,391421498256,FixedPrice,PayPal,30071,ReferenceID,115174685,True,EndedWithoutSales,Free,2016-03-31T21:12:20.000Z,"Apple MacBook Pro 13"" Notebook Intel Core i5 2.5 GHz 8GB 500GB MD101LL/A",False,569.0
False,1,False,111422,Apple Laptops,Used,3000,US,2016-04-07T21:11:23.000Z,False,False,272194968829,Auction,PayPal,87010,ReferenceID,78157570,False,EndedWithSales,Calculated,2016-03-31T21:11:23.000Z,"Apple MacBook Pro ""Core 2 Duo"" 2.8 15"" (SD - Mid-2009) / 750GB HD / 8GB RAM",False,525.0
False,59,False,111422,Apple Laptops,Used,3000,US,2016-04-05T21:09:43.000Z,True,False,391421497174,Auction,PayPal,48301,ReferenceID,115182969,True,EndedWithSales,FlatDomesticCalculatedInternational,2016-03-31T21:09:43.000Z,Apple Macbook Pro 13.3'' Core i7 2.9GHZ 8GB Ram 500GB HD 2012 Great Deal!,True,609.0
False,NA,False,111422,Apple Laptops,Seller refurbished,2500,US,2016-04-12T01:09:08.000Z,False,False,182074420161,StoreInventory,PayPal,95382,NA,NA,True,EndedWithSales,Free,2016-03-31T21:09:26.000Z,"Apple Macbook Pro Retina 15 - i7, 2.7GHz, 16GB, 512GB SSD - Microsoft, iLife....",True,1150.0
