itemId,title,productId_type,productId_value,conditionDisplayName,conditionId,categoryId,categoryName,startTime,endTime,postalCode,country,listingType,bidCount,buyItNowAvailable,bestOfferEnabled,topRatedListing,gift,paymentMethod,expeditedShipping,shippingType,isShippingFree,returnsAccepted,sellingState,value
361538119844,"APPLE MACBOOK PRO MC700LL/A 13.3"" I5 2.3GHZ 8GB 500GB 2011 + NEW BATTERY +WRNTY",ReferenceID,108796569.0,Used,3000,111422,Apple Laptops,2016-04-20T03:28:13.000Z,2016-04-27T03:28:13.000Z,93035,US,FixedPrice,NA,False,False,True,False,PayPal,False,FlatDomesticCalculatedInternational,False,True,EndedWithoutSales,525.0
141965269725,"MacBook Pro Retina 2.6GHz i7, 16GB RAM, 512GB HDD (mid 2012) bundle",NA,NA,Used,3000,111422,Apple Laptops,2016-04-20T03:27:03.000Z,2016-04-23T18:52:26.000Z,95816,US,Auction,0.0,True,False,False,False,PayPal,True,Calculated,False,False,EndedWithoutSales,645.0
172173872504,Apple MacBook Pro 15 2011 NEW 2.4GHz Logic Board 8GB RAM 750GB HDD + Bundle!,ReferenceID,110969698.0,Manufacturer refurbished,2000,111422,Apple Laptops,2016-04-20T03:26:17.000Z,2016-04-22T10:44:30.000Z,32605,US,FixedPrice,NA,False,True,False,False,PayPal,True,Free,True,False,EndedWithSales,700.0
322081026636,"Apple MacBook Pro A1502 13.3"" Laptop - MF841LL/A (March, 2015)",ReferenceID,219506952.0,Used,3000,111422,Apple Laptops,2016-04-20T03:26:09.000Z,2016-04-27T03:26:09.000Z,33032,US,Auction,0.0,True,False,False,False,PayPal,True,Free,True,False,EndedWithoutSales,1100.0
172173869093,"Apple Macbook Pro 15"" Late 2008 Unibody 2.53GHz Parts Or Repair",NA,NA,For parts or not working,7000,111422,Apple Laptops,2016-04-20T03:22:35.000Z,2016-04-25T02:44:34.000Z,34608,US,FixedPrice,NA,False,True,False,False,PayPal,False,Free,True,False,EndedWithSales,125.0
222092223269,"Apple MacBook Pro A1398 15.4"" Laptop with Retina Display - MJLQ2LL/A (May, 2015)",ReferenceID,217009412.0,Used,3000,111422,Apple Laptops,2016-04-20T03:21:11.000Z,2016-04-20T17:51:28.000Z,92612,US,FixedPrice,NA,False,True,False,False,PayPal,True,Calculated,False,False,EndedWithSales,1425.0
182099604131,"Apple MacBook Pro ""Core i7"" 2.2 15"" Late 2011 MD318LL/A Antiglare 8gb 250gb SSD",NA,NA,Used,3000,111422,Apple Laptops,2016-04-20T03:20:08.000Z,2016-04-25T03:20:08.000Z,02113,US,FixedPrice,NA,False,False,False,False,PayPal,False,Flat,False,False,EndedWithoutSales,799.99
172173868065,"Apple MacBook Pro A1278 13.3"" Laptop Intel Core i5 2.4Ghz 8GB 500GB 2012",NA,NA,Used,3000,111422,Apple Laptops,2016-04-20T03:20:04.000Z,2016-04-20T09:45:00.000Z,30288,US,FixedPrice,NA,False,False,True,False,PayPal,True,FlatDomesticCalculatedInternational,False,True,EndedWithSales,420.0
282011109332,"Apple MacBook Pro 2010|A1278|13""|2.4GHz 4GB RAM|250GB HD|OS X10.11.4 EL Capitan",NA,NA,Used,3000,111422,Apple Laptops,2016-04-20T03:14:04.000Z,2016-04-21T10:31:12.000Z,19804,US,FixedPrice,NA,False,True,False,False,PayPal,True,Calculated,False,True,EndedWithoutSales,300.0
401108360381,"Apple MacBook Pro 15.4"" Laptop MC723LL/A (Core i7 - 2.2Ghz - 8GB - 500GB HD)",ReferenceID,208292445.0,Used,3000,111422,Apple Laptops,2016-04-20T03:12:18.000Z,2016-04-23T03:12:18.000Z,60431,US,Auction,5.0,False,False,False,False,PayPal,False,Free,True,True,EndedWithSales,453.33
