itemId,title,productId_type,productId_value,conditionDisplayName,conditionId,categoryId,categoryName,startTime,endTime,postalCode,country,listingType,bidCount,buyItNowAvailable,bestOfferEnabled,gift,paymentMethod,expeditedShipping,shippingType,isShippingFree,returnsAccepted,topRatedListing,feedbackRatingStar,feedbackScore,positiveFeedbackPercent,topRatedSeller,value,sellingState
111980450726,"Apple MacBook Pro A1286 15.4"" 15 2.4GHz Core 2 Duo 4GB 320GB MB470LL/A (2008)",ReferenceID,78131796,Used,3000,111422,Apple Laptops,2016-04-27T01:13:21.000Z,2016-05-01T19:32:35.000Z,94103,US,FixedPrice,NA,False,False,False,PayPal,False,FlatDomesticCalculatedInternational,False,False,False,Blue,81,100.0,false,374.99,EndedWithoutSales
252371292296,"Apple MacBook Pro A1278 13.3"" Laptop (February, 2011) - Customized",ReferenceID,108796569,Used,3000,111422,Apple Laptops,2016-04-28T19:31:41.000Z,2016-05-01T19:31:41.000Z,40207,US,Auction,41,False,False,False,PayPal,True,Calculated,False,False,False,None,0,0.0,false,430.0,EndedWithSales
231923517110,"Apple MacBook Pro MJLT2LL/A 15.4"" Laptop with Retina Display 2.5 GHz 16GB 512GB",ReferenceID,219424021,New,1000,111422,Apple Laptops,2016-04-24T19:31:24.000Z,2016-05-01T19:31:24.000Z,07110,US,Auction,24,False,False,False,PayPal,True,FlatDomesticCalculatedInternational,False,False,False,Blue,50,90.9,false,2030.0,EndedWithSales
262399088498,Apple MacBook Pro 13 Laptop Bundle i5 T3.6GHz 16GB RAM 1TB SSD pre Retina,ReferenceID,115182969,Seller refurbished,2500,111422,Apple Laptops,2016-04-21T19:30:21.000Z,2016-05-01T19:30:21.000Z,NA,US,FixedPrice,NA,False,False,False,PayPal,True,FlatDomesticCalculatedInternational,False,True,False,Purple,673,100.0,false,1850.0,EndedWithoutSales
381608163026,"CRACKED Apple MacBook Pro 13"" Mid 2012 Intel Core i5 2.5GHz 4GB 500GB MD101LL/A",ReferenceID,115182969,For parts or not working,7000,111422,Apple Laptops,2016-04-21T19:28:38.000Z,2016-05-01T19:28:38.000Z,90016,US,FixedPrice,NA,False,True,False,PayPal,True,FlatDomesticCalculatedInternational,False,True,True,Red,4965,99.9,true,429.0,EndedWithoutSales
191860777297,"Apple MacBook Pro A1278 13.3"" Laptop - MD101LL/A 4GB RAM - NEW IN BOX",ReferenceID,115174685,New,1000,111422,Apple Laptops,2016-05-01T10:30:48.000Z,2016-05-01T19:27:38.000Z,93230,US,FixedPrice,NA,False,True,False,PayPal,False,Free,True,True,False,Turquoise,101,100.0,false,840.0,EndedWithSales
252363628541,"Apple MacBook Pro 13.3"" Laptop w intel i5 16 GB RAM + 1TB SSD hybrid non retina",ReferenceID,108796569,Seller refurbished,2500,111422,Apple Laptops,2016-04-21T19:27:11.000Z,2016-05-01T19:27:11.000Z,NA,US,FixedPrice,NA,False,True,False,PayPal,True,FlatDomesticCalculatedInternational,False,True,False,Purple,673,100.0,false,983.52,EndedWithSales
182115113198,!! Apple MacBook Pro Core i5 2.4 13 Late 2011 MD313LL/A - A1278 100% Working !!,ReferenceID,110891711,Used,3000,111422,Apple Laptops,2016-05-01T18:19:02.000Z,2016-05-01T19:26:48.000Z,89052,US,FixedPrice,NA,False,True,False,PayPal,True,Flat,False,True,False,Red,1468,100.0,false,419.99,EndedWithSales
252371287505,"Apple MacBook Pro 13"" Early 2011 A1278",NA,NA,Used,3000,111422,Apple Laptops,2016-04-28T19:26:00.000Z,2016-05-01T19:26:00.000Z,85301,US,Auction,13,False,False,False,PayPal,False,FlatDomesticCalculatedInternational,False,False,False,Turquoise,113,100.0,false,402.0,EndedWithSales
381612769624,"Apple MacBook Pro A1150 15"" Laptop w/ Intel Core Duo 1.83GHz 1.5GB RAM 80GB HDD",NA,NA,Used,3000,111422,Apple Laptops,2016-04-26T19:25:15.000Z,2016-05-01T19:25:15.000Z,14606,US,Auction,1,False,False,False,"['PayPal', 'VisaMC', 'Discover']",True,Calculated,False,True,False,PurpleShooting,53925,99.0,false,89.99,EndedWithSales
111983716686,"Apple - MacBook Pro_Retina display (Latest Model) - 13.3"" _8GB Memory_128 SSD",NA,NA,New,1000,111422,Apple Laptops,2016-04-30T19:23:56.000Z,2016-05-01T19:23:56.000Z,22102,US,Auction,95,False,False,False,PayPal,True,Free,True,False,False,Blue,75,100.0,false,970.0,EndedWithSales
252371483726,"Apple MacBook Pro 13"" 2.5GHz Core i5 (Mid 2012 - MD101LL/A) 160GB SSD, 8GB RAM",NA,NA,Used,3000,111422,Apple Laptops,2016-04-28T23:07:18.000Z,2016-05-01T19:22:17.000Z,98033,US,FixedPrice,NA,False,False,False,"['PayPal', 'VisaMC', 'AmEx', 'Discover']",True,Free,True,True,True,Turquoise,499,99.4,true,569.99,EndedWithSales
201574311049,"Apple MacBook Pro A1297 17"" Laptop 8Gb ram",ReferenceID,108761154,Used,3000,111422,Apple Laptops,2016-05-01T19:17:53.000Z,2016-05-01T19:20:41.000Z,62901,US,Auction,1,True,False,False,PayPal,True,Calculated,False,False,False,None,7,100.0,false,780.0,EndedWithSales
331819805535,"Apple MacBook Pro 13.3"" Laptop - MC700LL/A (February, 2011) 2.3GHz i5 4GB 320GB",NA,NA,For parts or not working,7000,111422,Apple Laptops,2016-04-01T19:19:18.000Z,2016-05-01T19:19:18.000Z,32792,US,FixedPrice,NA,False,False,False,PayPal,False,FlatDomesticCalculatedInternational,False,True,True,Red,1222,99.2,true,339.99,EndedWithoutSales
