productId_type,productId_value,conditionDisplayName,conditionId,endTime,country,listingType,buyItNowAvailable,bestOfferEnabled,paymentMethod,expeditedShipping,shippingType,isShippingFree,returnsAccepted,feedbackRatingStar,feedbackScore,positiveFeedbackPercent,topRatedSeller,value,sellingState,endHour,endWeekday
0,89,2,0,2016-05-03T23:33:44.000Z,41,1,0,0,0,1,4,1,0,2,0,0.0,0,200.0,0,23,1
0,32,0,5,2016-05-03T23:33:43.000Z,41,0,0,0,0,1,0,0,1,5,3405,100.0,1,0.0,0,23,1
0,34,5,4,2016-05-03T23:32:40.000Z,41,0,0,0,0,1,0,0,1,0,71,100.0,0,0.0,0,23,1
0,204,0,5,2016-05-03T23:30:49.000Z,41,0,0,0,0,1,0,0,1,5,3405,100.0,1,0.0,0,23,1
0,14,5,4,2016-05-03T23:29:03.000Z,41,1,0,0,0,1,4,1,1,8,28565,99.9,1,455.05,0,23,1
1,205,5,4,2016-05-03T23:28:53.000Z,41,0,1,0,0,0,2,0,0,7,199,100.0,0,0.0,0,23,1
0,43,0,5,2016-05-03T23:28:52.000Z,41,0,0,0,0,1,0,0,1,5,3405,100.0,1,0.0,0,23,1
0,32,0,5,2016-05-03T23:26:57.000Z,41,0,0,0,0,1,0,0,1,5,3405,100.0,1,0.0,0,23,1
0,5,5,4,2016-05-03T23:26:42.000Z,41,1,0,0,0,1,4,1,1,8,28565,99.9,1,313.49,0,23,1
1,205,5,4,2016-05-03T23:25:56.000Z,41,1,0,1,0,1,0,0,0,0,96,100.0,0,850.0,1,23,1
0,43,0,5,2016-05-03T23:25:09.000Z,41,0,0,0,0,1,0,0,1,5,3405,100.0,1,0.0,0,23,1
1,205,3,1,2016-05-03T23:23:08.000Z,41,1,0,0,0,0,2,0,1,7,220,98.6,0,120.0,1,23,1
0,53,5,4,2016-05-03T23:22:26.000Z,41,0,1,0,0,1,4,1,0,9,30,0.0,0,0.0,0,23,1
1,205,5,4,2016-05-03T23:21:48.000Z,41,1,0,0,0,1,4,1,1,7,286,100.0,0,650.0,1,23,1
0,7,5,4,2016-05-03T23:18:17.000Z,41,1,0,1,0,0,2,0,0,2,4,100.0,0,550.0,0,23,1
0,40,4,3,2016-05-03T23:15:11.000Z,41,1,0,1,0,1,0,0,1,5,1660,100.0,1,699.0,0,23,1
1,205,5,4,2016-05-03T23:12:46.000Z,41,1,0,0,0,1,0,0,1,10,11453,99.7,1,1429.99,1,23,1
1,205,5,4,2016-05-03T23:12:36.000Z,41,1,0,0,0,1,4,1,1,0,72,98.6,0,248.88,0,23,1
0,47,5,4,2016-05-03T23:11:42.000Z,41,0,1,0,0,1,4,1,0,2,1,66.7,0,0.0,0,23,1
1,205,5,4,2016-05-03T23:11:26.000Z,41,1,0,0,0,1,3,0,1,5,2120,100.0,1,1709.98,1,23,1
0,98,2,0,2016-05-03T23:09:52.000Z,41,0,0,0,0,1,1,0,0,2,0,0.0,0,0.0,1,23,1
1,205,5,4,2016-05-03T23:08:32.000Z,41,1,0,0,0,0,4,1,1,8,47046,99.6,1,679.99,0,23,1
0,24,5,4,2016-05-03T23:05:02.000Z,41,1,0,1,0,1,2,0,0,9,11,100.0,0,395.0,0,23,1
1,205,5,4,2016-05-03T23:05:00.000Z,41,1,0,0,0,1,3,0,1,3,983,99.7,1,329.95,1,23,1
0,101,3,1,2016-05-03T23:01:04.000Z,41,1,0,0,0,0,4,1,1,8,37519,98.8,0,1019.99,0,23,1
0,98,2,0,2016-05-03T23:00:50.000Z,41,1,0,0,0,1,4,1,1,3,673,100.0,1,1329.0,0,23,1
0,49,5,4,2016-05-03T23:00:43.000Z,41,0,0,0,0,0,0,0,1,10,12661,99.0,0,0.0,0,23,1
0,30,5,4,2016-05-03T23:00:06.000Z,41,0,0,0,0,1,2,0,0,7,148,100.0,0,0.0,0,23,1
0,101,5,4,2016-05-03T22:59:12.000Z,41,1,0,0,0,0,4,1,1,5,1200,100.0,1,800.0,0,22,1
1,205,5,4,2016-05-03T22:58:20.000Z,41,0,0,0,0,1,0,0,0,0,50,100.0,0,0.0,0,22,1
1,205,5,4,2016-05-03T22:57:47.000Z,41,1,0,0,0,1,0,0,1,10,11453,99.7,1,1169.95,1,22,1
1,205,5,4,2016-05-03T22:57:13.000Z,41,0,0,0,0,1,3,0,1,7,305,100.0,0,0.0,0,22,1
1,205,5,4,2016-05-03T22:53:49.000Z,41,0,1,0,0,1,0,0,0,7,138,100.0,0,0.0,1,22,1
