productId_type,productId_value,conditionDisplayName,conditionId,country,listingType,buyItNowAvailable,bestOfferEnabled,paymentMethod,expeditedShipping,shippingType,isShippingFree,returnsAccepted,sellingState,endHour,endWeekday
0,152,5,4,20,0,0,0,0,1,2,0,0,0,16,5
0,133,5,4,20,1,0,0,0,0,0,0,0,1,22,5
0,66,5,4,20,1,0,1,0,0,2,0,1,0,16,5
1,157,5,4,20,1,0,0,0,1,0,0,0,1,5,5
0,94,1,2,20,1,0,1,0,1,4,1,0,0,5,5
1,157,5,4,20,1,0,1,0,1,0,0,0,0,3,6
0,37,5,4,20,1,0,0,0,1,3,0,0,0,19,5
0,78,2,0,20,1,0,0,0,1,4,1,0,0,13,5
0,52,5,4,20,1,0,1,0,1,3,0,1,0,12,5
0,64,5,4,20,1,0,1,0,1,2,0,0,0,4,5
1,157,5,4,20,1,0,0,0,1,3,0,1,0,2,6
1,157,1,2,20,0,0,0,0,0,3,0,1,1,3,6
1,157,1,2,20,0,0,0,0,0,3,0,1,1,3,6
1,157,1,2,20,0,0,0,0,0,3,0,1,0,3,6
1,157,5,4,20,1,0,0,0,0,4,1,1,0,6,6
1,157,1,2,20,0,0,0,0,0,3,0,1,1,3,6
1,157,5,4,20,0,0,0,0,1,3,0,0,1,17,5
1,157,5,4,20,1,0,1,0,1,3,0,0,1,12,5
1,157,0,5,20,1,0,1,0,0,3,0,0,0,4,5
1,157,1,2,20,0,0,0,0,0,3,0,1,0,2,6
1,157,5,4,20,0,0,0,0,1,2,0,1,0,2,6
1,157,2,0,20,1,0,0,0,0,4,1,0,0,18,5
1,157,5,4,20,1,0,1,0,0,2,0,0,0,2,5
1,157,5,4,20,1,0,1,0,1,2,0,0,0,2,5
1,157,5,4,20,1,0,0,0,1,3,0,1,0,4,5
0,37,5,4,20,0,0,0,0,1,4,1,0,0,17,5
1,157,5,4,20,1,0,0,0,1,4,1,0,0,19,5
0,133,5,4,20,1,0,0,0,0,0,0,0,0,16,5
1,157,5,4,20,1,0,1,0,1,0,0,1,0,23,5
1,157,4,3,20,1,0,1,0,1,0,0,0,0,2,5
1,157,5,4,20,1,0,1,0,1,0,0,0,1,20,5
0,16,5,4,20,0,0,0,0,0,0,0,0,0,1,5
0,75,1,2,20,1,0,1,0,1,2,0,0,1,1,5
1,157,5,4,20,1,0,1,0,1,0,0,0,0,5,5
1,157,5,4,20,1,0,1,0,1,0,0,1,0,8,5
1,157,5,4,20,1,0,0,0,1,4,1,1,0,9,5
1,157,5,4,20,0,0,0,0,1,4,1,0,0,16,5
1,157,5,4,20,1,0,1,0,1,3,0,1,0,12,5
